state,senator,party,assumed_office,class,population,gender,race
AK,Lisa Murkowski,Republican,20-Dec-02,2022Class 3,733391,Woman,White
AK,Dan Sullivan,Republican,3-Jan-15,2026Class 2,733391,Man,White
AL,Richard Shelby,Republican,3-Jan-87,2022Class 3,5024279,Man,White
AL,Tommy Tuberville,Republican,3-Jan-21,2026Class 2,5024279,Man,White
AR,John Boozman,Republican,3-Jan-11,2022Class 3,3011524,Man,White
AR,Tom Cotton,Republican,3-Jan-15,2026Class 2,3011524,Man,White
AZ,Kyrsten Sinema,Democratic,3-Jan-19,2024Class 1,7151502,Woman,White
AZ,Mark Kelly,Democratic,2-Dec-20,2022Class 3,7151502,Man,White
CA,Dianne Feinstein,Democratic,10-Nov-92,2024Class 1,39538223,Woman,White
CA,Alex Padilla,Democratic,20-Jan-21,2022Class 3,39538223,Man,Hispanic or Latino
CO,Michael Bennet,Democratic,21-Jan-09,2022Class 3,5773714,Man,White
CO,John Hickenlooper,Democratic,3-Jan-21,2026Class 2,5773714,Man,White
CT,Richard Blumenthal,Democratic,3-Jan-11,2022Class 3,3605944,Man,White
CT,Chris Murphy,Democratic,3-Jan-13,2024Class 1,3605944,Man,White
DE,Tom Carper,Democratic,3-Jan-01,2024Class 1,989948,Man,White
DE,Chris Coons,Democratic,15-Nov-10,2026Class 2,989948,Man,White
FL,Marco Rubio,Republican,3-Jan-11,2022Class 3,21538187,Man,Hispanic or Latino
FL,Rick Scott,Republican,8-Jan-19,2024Class 1,21538187,Man,White
GA,Jon Ossoff,Democratic,20-Jan-21,2026Class 2,10711908,Man,White
GA,Raphael Warnock,Democratic,20-Jan-21,2022Class 3,10711908,Man,Black
HI,Mazie Hirono,Democratic,3-Jan-13,2024Class 1,1455271,Woman,Asian American
HI,Brian Schatz,Democratic,26-Dec-12,2022Class 3,1455271,Man,White
ID,Mike Crapo,Republican,3-Jan-99,2022Class 3,1839106,Man,White
ID,Jim Risch,Republican,3-Jan-09,2026Class 2,1839106,Man,White
IL,Tammy Duckworth,Democratic,3-Jan-17,2022Class 3,12812508,Woman,Asian American
IL,Dick Durbin,Democratic,3-Jan-97,2026Class 2,12812508,Man,White
IN,Todd Young,Republican,3-Jan-17,2022Class 3,6785528,Man,White
IN,Mike Braun,Republican,3-Jan-19,2024Class 1,6785528,Man,White
IO,Joni Ernst,Republican,3-Jan-15,2026Class 2,3190369,Woman,White
IO,Chuck Grassley,Republican,3-Jan-81,2022Class 3,3190369,Man,White
KS,Jerry Moran,Republican,3-Jan-11,2022Class 3,2937880,Man,White
KS,Roger Marshall,Republican,3-Jan-21,2026Class 2,2937880,Man,White
KY,Mitch McConnell,Republican,3-Jan-85,2026Class 2,4505836,Man,White
KY,Rand Paul,Republican,3-Jan-11,2022Class 3,4505836,Man,White
LA,Bill Cassidy,Republican,3-Jan-15,2026Class 2,4657757,Man,White
LA,John Kennedy,Republican,3-Jan-17,2022Class 3,4657757,Man,White
M,Josh Hawley,Republican,3-Jan-19,2024Class 1,6154913,Man,White
MA,Elizabeth Warren,Democratic,3-Jan-13,2024Class 1,7029917,Woman,White
MA,Ed Markey,Democratic,16-Jul-13,2026Class 2,7029917,Man,White
MD,Ben Cardin,Democratic,3-Jan-07,2024Class 1,6177224,Man,White
MD,Chris Van Hollen,Democratic,3-Jan-17,2022Class 3,6177224,Man,White
ME,Susan Collins,Republican,3-Jan-97,2026Class 2,1362359,Woman,White
ME,Angus King,Independent,3-Jan-13,2024Class 1,1362359,Man,White
MI,Debbie Stabenow,Democratic,3-Jan-01,2024Class 1,10077331,Woman,White
MI,Gary Peters,Democratic,3-Jan-15,2026Class 2,10077331,Man,White
MN,Amy Klobuchar,Democratic,3-Jan-07,2024Class 1,5706494,Woman,White
MN,Tina Smith,Democratic,3-Jan-18,2026Class 2,5706494,Woman,White
MO,Roy Blunt,Republican,3-Jan-11,2022Class 3,6154913,Man,White
MS,Cindy Hyde-Smith,Republican,9-Apr-18,2026Class 2,2961279,Woman,White
MS,Roger Wicker,Republican,31-Dec-07,2024Class 1,2961279,Man,White
MT,Jon Tester,Democratic,3-Jan-07,2024Class 1,1084225,Man,White
MT,Steve Daines,Republican,3-Jan-15,2026Class 2,1084225,Man,White
NC,Richard Burr,Republican,3-Jan-05,2022Class 3,10439388,Man,White
NC,Thom Tillis,Republican,3-Jan-15,2026Class 2,10439388,Man,White
ND,John Hoeven,Republican,3-Jan-11,2022Class 3,779094,Man,White
ND,Kevin Cramer,Republican,3-Jan-19,2024Class 1,779094,Man,White
NE,Deb Fischer,Republican,3-Jan-13,2024Class 1,1961504,Woman,White
NE,Ben Sasse,Republican,3-Jan-15,2024 (Special)2026 (General)Class 2,1961504,Man,White
NH,Jeanne Shaheen,Democratic,3-Jan-09,2026Class 2,1377529,Woman,White
NH,Maggie Hassan,Democratic,3-Jan-17,2022Class 3,1377529,Woman,White
NJ,Bob Menendez,Democratic,17-Jan-06,2024Class 1,9288994,Man,Hispanic or Latino
NJ,Cory Booker,Democratic,31-Oct-13,2026Class 2,9288994,Man,Black
NM,Martin Heinrich,Democratic,3-Jan-13,2024Class 1,2117522,Man,White
NM,Ben Ray Luján,Democratic,3-Jan-21,2026Class 2,2117522,Man,Hispanic or Latino
NV,Catherine Cortez Masto,Democratic,3-Jan-17,2022Class 3,3104614,Woman,Hispanic or Latino
NV,Jacky Rosen,Democratic,3-Jan-19,2024Class 1,3104614,Woman,White
NY,Kirsten Gillibrand,Democratic,26-Jan-09,2024Class 1,20201249,Woman,White
NY,Chuck Schumer,Democratic,3-Jan-99,2022Class 3,20201249,Man,White
OH,Sherrod Brown,Democratic,3-Jan-07,2024Class 1,11799448,Man,White
OH,Rob Portman,Republican,3-Jan-11,2022Class 3,11799448,Man,White
OK,Jim Inhofe,Republican,16-Nov-94,2022 (Special)2026 (General)Class 2,3959353,Man,White
OK,James Lankford,Republican,3-Jan-15,2022Class 3,3959353,Man,White
OR,Ron Wyden,Democratic,5-Feb-96,2022Class 3,4237256,Man,White
OR,Jeff Merkley,Democratic,3-Jan-09,2026Class 2,4237256,Man,White
PA,Bob Casey Jr.,Democratic,3-Jan-07,2024Class 1,13002700,Man,White
PA,Pat Toomey,Republican,3-Jan-11,2022Class 3,13002700,Man,White
RI,Jack Reed,Democratic,3-Jan-97,2026Class 2,1097379,Man,White
RI,Sheldon Whitehouse,Democratic,3-Jan-07,2024Class 1,1097379,Man,White
SC,Lindsey Graham,Republican,3-Jan-03,2026Class 2,5118425,Man,White
SC,Tim Scott,Republican,2-Jan-13,2022Class 3,5118425,Man,Black
SD,John Thune,Republican,3-Jan-05,2022Class 3,886667,Man,White
SD,Mike Rounds,Republican,3-Jan-15,2026Class 2,886667,Man,White
TN,Marsha Blackburn,Republican,3-Jan-19,2024Class 1,6910840,Woman,White
TN,Bill Hagerty,Republican,3-Jan-21,2026Class 2,6910840,Man,White
TX,John Cornyn,Republican,2-Dec-02,2026Class 2,29145505,Man,White
TX,Ted Cruz,Republican,3-Jan-13,2024Class 1,29145505,Man,Hispanic or Latino
UT,Mike Lee,Republican,3-Jan-11,2022Class 3,3271616,Man,White
UT,Mitt Romney,Republican,3-Jan-19,2024Class 1,3271616,Man,White
VA,Mark Warner,Democratic,3-Jan-09,2026Class 2,8631393,Man,White
VA,Tim Kaine,Democratic,3-Jan-13,2024Class 1,8631393,Man,White
VT,Patrick Leahy,Democratic,3-Jan-75,2022Class 3,643077,Man,White
VT,Bernie Sanders,Independent,3-Jan-07,2024Class 1,643077,Man,White
WA,Patty Murray,Democratic,3-Jan-93,2022Class 3,7705281,Woman,White
WA,Maria Cantwell,Democratic,3-Jan-01,2024Class 1,7705281,Woman,White
WI,Tammy Baldwin,Democratic,3-Jan-13,2024Class 1,5893718,Woman,White
WI,Ron Johnson,Republican,3-Jan-11,2022Class 3,5893718,Man,White
WV,Shelley Moore Capito,Republican,3-Jan-15,2026Class 2,1793716,Woman,White
WV,Joe Manchin,Democratic,15-Nov-10,2024Class 1,1793716,Man,White
WY,Cynthia Lummis,Republican,3-Jan-21,2026Class 2,576851,Woman,White
WY,John Barrasso,Republican,25-Jun-07,2024Class 1,576851,Man,White
